doc_id,ref,sent_index,sentence_text,canonical_duty_id
mobility-force-aviator-27bd37197c,2.1,0,Performs aircraft inspections.,abf61db702142f3df38f37e8f034e4c72b90f3ee
mobility-force-aviator-27bd37197c,2.1,1,"Performs aircrew visual inspection; non-scheduled aircraft maintenance; and preflight, through-flight, and post flight inspections of aircraft away from home station.",f224d1e1187e20c21c203c49a4fe899d64560c11
mobility-force-aviator-27bd37197c,2.1,2,Accomplishes preflight and post-flight records and reports.,4e71f889a465c1bff8cee112700030a7ecfaa2eb
mobility-force-aviator-27bd37197c,2.1,3,Maintains aircraft forms and records during flight and while aircraft is away from home station.,6e2d47f74a26c8aa7e24319aeda2f3276f11fc7d
mobility-force-aviator-27bd37197c,2.2,4,Manages cargo and passenger load briefings.,0edae5e5cbd44d5bcbf2f560ae94c741a2d5c5e5
mobility-force-aviator-27bd37197c,2.2,5,Accomplishes load planning of cargo and passenger loads if required.,be381542d1cf90d814f27ef2046abe54c0789bb1
mobility-force-aviator-27bd37197c,2.2,6,Supervises cargo and passenger loading for off-loading operations.,f18d8ff2a967d08743ce9bd0f8dd63a46c36613d
mobility-force-aviator-27bd37197c,2.2,7,Directs the placement of material handling equipment to accomplish cargo on/off loading operations.,386a52002836658d3ebd59d4d15b104cad081b2a
mobility-force-aviator-27bd37197c,2.2,8,Ensures cargo and passengers are placed according to load plans.,86474ad380b5ad8faefd462ea62a2be4b3ccc9fc
mobility-force-aviator-27bd37197c,2.2,9,Determines cargo restraint requirements according to criteria and directs and checks the application of cargo restraint equipment.,e7d64cd43bdf73fa8ec21650c4f89dc02c83dc00
mobility-force-aviator-27bd37197c,2.2,10,Checks cargo/passenger loads against manifests.,a68f094ef3a30a9de2949409f1979591dbd0de3b
mobility-force-aviator-27bd37197c,2.2,11,"Determines and verifies passenger, cargo, fuel, and emergency and special equipment distribution and weight.",488a4cb0aba4608f0e0e2414040470ebb1fd891f
mobility-force-aviator-27bd37197c,2.2,12,Computes and applies aircraft weight and balance.,23619168619decca57a87dd24e2e83edaa86dcd7
mobility-force-aviator-27bd37197c,2.3,13,"Computes takeoff, climb, cruise, and landing data.",520cdb48e4856600d613d0213751de31ecf81c97
mobility-force-aviator-27bd37197c,2.3,14,"Determines engine fuel consumption using airspeed, atmospheric data, charts, computer, or electronic calculator.",54a4d7978de5dbdeb52f9a97ee0898a5fc9810fb
mobility-force-aviator-27bd37197c,2.3,15,Records actual aircraft performance data in flight engineer's log.,7225d9d3dffbf636303dd592bd06b71e045f332b
mobility-force-aviator-27bd37197c,2.4,16,Operates and monitors engine and aircraft systems controls and indicators according to flight manual procedures.,4460bd609701e91b56a55a610b8521f898c24f16
mobility-force-aviator-27bd37197c,2.4,17,"Assists pilot or performs engine starts, and monitors run-up, flight operations, and engine shutdown.",45d2fba2b0bcb79afeafddc277beb8098354b0bf
mobility-force-aviator-27bd37197c,2.4,18,Operates engine controls to provide desired efficiency and economy.,171b1c1b23e038a91c21c4c625bfeab5ce5fb347
mobility-force-aviator-27bd37197c,2.4,19,Monitors engine instruments throughout period of operation.,f030aa7808b5f5b1cccaa61c48fa47c220bf9d3b
mobility-force-aviator-27bd37197c,2.4,20,"Controls, monitors, and regulates aircraft systems such as electric, communication, navigation, hydraulic, pneumatic, fuel, air conditioning, and pressurization; ventilation; auxiliary power unit; and lubrication systems.",d4d1d2376babd331f4fc2a9449f02319db547def
mobility-force-aviator-27bd37197c,2.4,21,"Observes warning indicators and light for fire, overheat, depressurization, and system failure.",a1724ce7cee4a5343e160601930e367997cf37ae
mobility-force-aviator-27bd37197c,2.4,22,Reports abnormal conditions to pilot and recommends corrective action.,629acb3ae22699d499f9d883b5e984b791d81e03
mobility-force-aviator-27bd37197c,2.4,23,Monitors provides passenger comfort.,149be392e45962320171447307349ef0643cbfad
mobility-force-aviator-27bd37197c,2.4,24,"Prepares and dispenses passenger meals, snacks, and refreshments.",43d1630eba1818d04218980a42b2f364962b85a9
mobility-force-aviator-27bd37197c,2.4,25,Completes required aircraft forms documentation and border clearance requirements.,833d4c1247e6e0239cfb449f5f09ff5548c7d043
mobility-force-aviator-27bd37197c,2.4,26,"Visually monitors aircraft clearances (interior and exterior), identifies proximal threats to the aircraft and initiates corrective actions (aircraft scanning).",2acd03f89dcfda5655d510c79ffb38adb2a348b3
mobility-force-aviator-27bd37197c,2.5,27,Performs in-flight refueling aircrew duties.,8e5241596d07a399bcc41e2778a8b1a8457d63e3
mobility-force-aviator-27bd37197c,2.5,28,Checks forms for equipment status.,67ca14516fae3e8e955d5c114f1dbc1c93dac078
mobility-force-aviator-27bd37197c,2.5,29,Performs visual and operational check of air refueling and associated systems and equipment.,f13f21919d8b26572d6b2a38eafff6536d858bcc
mobility-force-aviator-27bd37197c,2.5,30,Performs in-flight operational check of air refueling systems.,63c10561b8259f57a10cc6e0edbfb0a59bcfd22a
mobility-force-aviator-27bd37197c,2.5,31,Directs receiver aircraft into air refueling position.,2a3e38b43608784a034d8944d3fb108505be5028
mobility-force-aviator-27bd37197c,2.5,32,Operates in-flight air refueling controls and switches to safely affect contact between tanker and receiver aircraft.,6f74c2f274d0c63d118e74eae89170332068195f
